baseline,race_id,season,round,race_date,field_size,spearman_correlation,mean_absolute_position_error,kendall_correlation,winner_accuracy,top_three_overlap
constructor_teammate_recent_10,2026-07,2026,7,2026-06-14,22,0.5979672501411633,4.2727272727272725,0.45454545454545453,0.0,0.3333333333333333
constructor_teammate_recent_5,2026-07,2026,7,2026-06-14,22,0.6645962732919255,3.6363636363636362,0.5584415584415584,0.0,0.6666666666666666
constructor_teammate_season_weighted,2026-07,2026,7,2026-06-14,22,0.46132128740824396,5.545454545454546,0.30735930735930733,0.0,0.3333333333333333
constructor_teammate_unweighted,2026-07,2026,7,2026-06-14,22,0.44212309429700736,5.636363636363637,0.3246753246753247,0.0,0.0
driver_form_recent_10,2026-07,2026,7,2026-06-14,22,0.5911914172783739,4.2727272727272725,0.42857142857142855,0.0,0.3333333333333333
driver_form_recent_5,2026-07,2026,7,2026-06-14,22,0.637492941840768,4.0,0.5497835497835498,0.0,0.6666666666666666
driver_form_season_weighted,2026-07,2026,7,2026-06-14,22,0.5110107284020328,5.363636363636363,0.35064935064935066,0.0,0.3333333333333333
driver_form_unweighted,2026-07,2026,7,2026-06-14,22,0.5087521174477696,5.181818181818182,0.35064935064935066,0.0,0.3333333333333333
previous_race_order,2026-07,2026,7,2026-06-14,22,0.2987012987012987,5.363636363636363,0.2727272727272727,0.0,0.3333333333333333
constructor_teammate_recent_10,2026-08,2026,8,2026-06-28,22,0.8656126482213439,2.5454545454545454,0.7142857142857143,0.0,0.6666666666666666
constructor_teammate_recent_5,2026-08,2026,8,2026-06-28,22,0.9175607001693958,2.090909090909091,0.7662337662337663,0.0,0.6666666666666666
constructor_teammate_season_weighted,2026-08,2026,8,2026-06-28,22,0.8283455674760023,3.090909090909091,0.6277056277056277,0.0,0.3333333333333333
constructor_teammate_unweighted,2026-08,2026,8,2026-06-28,22,0.7933370976849238,3.3636363636363638,0.5757575757575758,0.0,0.3333333333333333
driver_form_recent_10,2026-08,2026,8,2026-06-28,22,0.8656126482213439,2.5454545454545454,0.696969696969697,0.0,0.6666666666666666
driver_form_recent_5,2026-08,2026,8,2026-06-28,22,0.8848108413325805,2.5454545454545454,0.7142857142857143,0.0,0.3333333333333333
driver_form_season_weighted,2026-08,2026,8,2026-06-28,22,0.6420101637492942,4.181818181818182,0.4458874458874459,0.0,0.3333333333333333
driver_form_unweighted,2026-08,2026,8,2026-06-28,22,0.6160361377752682,4.2727272727272725,0.4025974025974026,0.0,0.3333333333333333
previous_race_order,2026-08,2026,8,2026-06-28,22,0.7029926595143987,3.6363636363636362,0.5584415584415584,0.0,0.3333333333333333
constructor_teammate_recent_10,2026-09,2026,9,2026-07-05,22,0.5302089215132693,4.636363636363637,0.3939393939393939,0.0,0.3333333333333333
constructor_teammate_recent_5,2026-09,2026,9,2026-07-05,22,0.4477696216826652,5.0,0.341991341991342,0.0,0.3333333333333333
constructor_teammate_season_weighted,2026-09,2026,9,2026-07-05,22,0.32128740824393,6.0,0.2554112554112554,0.0,0.0
constructor_teammate_unweighted,2026-09,2026,9,2026-07-05,22,0.31677018633540377,6.181818181818182,0.2554112554112554,0.0,0.3333333333333333
driver_form_recent_10,2026-09,2026,9,2026-07-05,22,0.4963297571993224,5.181818181818182,0.3852813852813853,0.0,0.3333333333333333
driver_form_recent_5,2026-09,2026,9,2026-07-05,22,0.5505364201016375,4.545454545454546,0.4199134199134199,0.0,0.3333333333333333
driver_form_season_weighted,2026-09,2026,9,2026-07-05,22,0.3099943534726144,6.2727272727272725,0.22943722943722944,0.0,0.0
driver_form_unweighted,2026-09,2026,9,2026-07-05,22,0.3066064370412197,6.090909090909091,0.24675324675324675,0.0,0.3333333333333333
previous_race_order,2026-09,2026,9,2026-07-05,22,0.5053642010163749,4.7272727272727275,0.3939393939393939,0.0,0.3333333333333333
constructor_teammate_recent_10,2026-10,2026,10,2026-07-19,22,0.6736307171089779,2.909090909090909,0.6017316017316018,0.0,0.0
